filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40
00907299.wav,0.1882513165473938,0.3976678252220154,2349.5592922068136,2051.9245337027955,4315.856035322667,0.14867426534663053,-17.238174438476562,94.44202423095703,-48.61454772949219,32.370765686035156,-4.550583839416504,2.220590353012085,-2.271864891052246,2.682117223739624,-5.288854122161865,0.5125930905342102,-9.244275093078613,2.2399396896362305,-6.41642951965332,2.6771085262298584,-5.104512691497803,-0.9110985994338989,-3.207995653152466,3.043154001235962,-1.0365114212036133,3.882601022720337,-5.022804260253906,-3.61883282661438,-9.091802597045898,-0.5520027875900269,-0.37959587574005127,2.509296178817749,-4.929384708404541,-5.592219352722168,-5.497677803039551,5.9600510597229,-1.5858758687973022,-3.0573925971984863,-11.763121604919434,-0.21572400629520416,-3.0634210109710693,0.8740314841270447,-0.5627840161323547,3.9790728092193604,-0.5006332397460938,-2.5596323013305664
00907479.wav,0.13295501470565796,0.2449880689382553,1899.8370661445197,2019.1825218017461,3714.893880963602,0.08832188345901006,-139.88211059570312,97.20099639892578,-23.457609176635742,26.14088249206543,-8.052657127380371,-3.192777156829834,-22.347537994384766,-6.469722747802734,-20.444873809814453,-5.501773834228516,-16.55663299560547,-4.759708881378174,-8.700592994689941,-6.12300443649292,-8.153275489807129,-8.733757019042969,-9.185047149658203,-2.00103497505188,-6.3011603355407715,-8.04183578491211,-10.219525337219238,-2.0592780113220215,-6.479938507080078,-3.594062566757202,-5.738694190979004,-5.9269585609436035,-6.925032138824463,-1.4787236452102661,-4.143726825714111,-3.928917407989502,-3.300969362258911,0.3620718717575073,-1.0929958820343018,4.041450500488281,-1.1155128479003906,-0.0704469382762909,-3.3174855709075928,1.1753005981445312,0.7748620510101318,5.843791484832764
00907482.wav,0.0833263099193573,0.3356803059577942,1584.1465798135232,1754.4480127851593,3206.946112812258,0.07722294672250193,-198.2923583984375,120.71194458007812,-29.782079696655273,35.7856559753418,-10.451662063598633,5.316995620727539,-13.973686218261719,-5.228672504425049,-16.383747100830078,-7.792897701263428,-11.733329772949219,-4.999311923980713,-7.8476667404174805,-7.091022491455078,-13.875327110290527,-8.470307350158691,-10.472196578979492,-8.709441184997559,-9.455057144165039,-9.769729614257812,-11.644877433776855,-3.357887029647827,-8.201334953308105,-2.4621787071228027,-5.176844596862793,-5.958307266235352,-10.4636869430542,-8.61272144317627,-8.991003036499023,-8.576604843139648,-8.158235549926758,-4.267430782318115,-4.839914321899414,-2.032588243484497,-3.8514211177825928,-3.8027589321136475,-5.56494140625,0.04706202819943428,1.1139529943466187,1.1388683319091797
00907486.wav,0.045630015432834625,0.27377912402153015,1143.1270195950635,1364.4017058375528,2187.65501322255,0.05407478456622773,-296.3250732421875,127.05620574951172,-11.140426635742188,17.762277603149414,-0.6601303219795227,-4.72859525680542,-7.765411853790283,-6.225920677185059,-10.142210960388184,-7.435736179351807,-7.86368989944458,-7.554514408111572,-5.775998115539551,-7.708980560302734,-12.432242393493652,-6.5455708503723145,-7.4592156410217285,-7.543604373931885,-5.158943176269531,-3.652437448501587,-6.403067588806152,-7.077807903289795,-7.643589496612549,-5.834044933319092,-5.139911651611328,-1.7099609375,0.8721060752868652,0.2790699303150177,-3.101466417312622,-3.951508045196533,-1.9542869329452515,-2.318934679031372,-3.521660566329956,-3.974799156188965,-4.1131205558776855,-3.6731464862823486,-3.7208173274993896,-3.42545223236084,-0.24533390998840332,5.562592506408691
00907489.wav,0.12095551192760468,0.3553060293197632,1919.1681742907056,1926.8072316565622,3838.9314469766655,0.09759876065065841,-122.51752471923828,103.2352066040039,-30.951581954956055,41.03110885620117,-10.52668285369873,1.8194388151168823,-12.620566368103027,-2.685547351837158,-11.149664878845215,-6.290968894958496,-16.963115692138672,-7.872331142425537,-7.559552192687988,-11.01108169555664,-8.631731033325195,-4.3853936195373535,-7.318212032318115,-7.899265766143799,-13.154898643493652,-9.025381088256836,-13.279224395751953,-10.441349983215332,-11.653142929077148,-7.460710525512695,-7.5777106285095215,-9.051451683044434,-9.452851295471191,-1.6770957708358765,-3.421745538711548,-4.509533405303955,-7.780409812927246,-6.483092784881592,-6.630392074584961,-0.15083366632461548,-2.148513078689575,1.9511308670043945,-5.453382968902588,-2.4387874603271484,-3.373786687850952,-1.946964979171753
00907493.wav,0.117259182035923,0.2667021155357361,1765.9524852337163,1936.5864040759002,3310.317163445246,0.08060309353214562,-164.28912353515625,121.98870849609375,-15.695501327514648,17.67658805847168,6.791200160980225,0.868419349193573,-14.774534225463867,-8.73425579071045,-16.31595230102539,-4.7515130043029785,-15.682082176208496,-2.0641582012176514,-13.525997161865234,-7.024837017059326,-2.776137113571167,-8.827327728271484,-0.5202852487564087,2.3198347091674805,-0.30670562386512756,0.009680903516709805,-10.089533805847168,2.0557074546813965,-5.115496635437012,5.046217441558838,3.064262628555298,5.6691975593566895,-2.176270008087158,-3.2316019535064697,-3.4347586631774902,6.700013160705566,-0.5098291635513306,-0.2978419065475464,-6.2025957107543945,2.5936975479125977,2.8778324127197266,7.185704231262207,1.865455985069275,4.400578022003174,-0.1901775598526001,0.1616421341896057
00907496.wav,0.04767945408821106,0.20834308862686157,1244.1783427342036,1474.9546036511983,2233.4568534868804,0.061112313008326875,-371.141845703125,101.11792755126953,1.7410377264022827,10.080738067626953,-7.381800174713135,-8.922748565673828,-9.527996063232422,-5.624731540679932,-7.580728530883789,-3.3486907482147217,-2.4101858139038086,-3.9873251914978027,-4.152920722961426,-5.355719566345215,-7.096798419952393,-4.907190799713135,-5.45720911026001,-5.891169548034668,-8.359221458435059,-4.759277820587158,-1.309795618057251,-2.6272923946380615,-6.529623508453369,-7.1162495613098145,-6.601169109344482,-4.927325248718262,-4.849273681640625,-2.1169536113739014,-1.0934029817581177,-3.917048215866089,-5.4181671142578125,-1.9595838785171509,-0.9083240628242493,-1.478223443031311,-1.9726104736328125,-2.7094132900238037,-5.149876594543457,-4.340915679931641,-3.3234925270080566,0.500828742980957
00907500.wav,0.13834801316261292,0.2965352535247803,1594.6322953423694,1738.9661554050642,3094.3596518566033,0.07863030112316034,-129.49822998046875,126.48336029052734,-35.11384582519531,23.26918601989746,-13.484028816223145,-4.821991920471191,-16.30571937561035,-10.021158218383789,-21.416095733642578,-10.779793739318848,-14.704719543457031,-6.749181747436523,-8.775628089904785,-9.690750122070312,-5.535472393035889,-6.422250270843506,-7.165236473083496,-2.526479482650757,-4.3397626876831055,-2.9693593978881836,-10.083050727844238,-4.948835849761963,-8.840916633605957,-3.3537895679473877,-2.600944995880127,-2.231621503829956,-7.9103007316589355,-4.608288764953613,-6.144773483276367,-2.6688764095306396,-8.166789054870605,-6.518158912658691,-6.679574012756348,-0.059585608541965485,-1.0092978477478027,2.5349173545837402,-0.7124186158180237,0.5745110511779785,2.3394532203674316,1.93588125705719
00907501.wav,0.1111689880490303,0.3329086899757385,2331.932338765961,2627.243688682542,5292.030690235283,0.10562873680770721,-110.66983032226562,103.5665512084961,10.578778266906738,16.410064697265625,11.801118850708008,3.594214916229248,-1.3690271377563477,2.367372989654541,-10.05712604522705,0.01488577015697956,-4.859470844268799,3.036882162094116,-2.7557272911071777,0.22179120779037476,0.2798116207122803,2.903775453567505,-2.0382187366485596,4.170448303222656,0.6175103187561035,3.2109711170196533,-3.478863477706909,1.0405820608139038,-2.7571070194244385,1.823420524597168,2.5232651233673096,2.978175640106201,-2.4925289154052734,1.156152367591858,-1.529040813446045,1.5293464660644531,-4.398702144622803,-2.0229105949401855,-4.364733695983887,3.898465394973755,0.20840062201023102,5.062345027923584,-0.4826968014240265,0.6336966156959534,0.756708562374115,3.610687732696533
00908482.wav,0.1715155392885208,0.35152050852775574,1130.4385358133031,1795.0591472143838,2210.0593867821926,0.0347329218629157,-154.98391723632812,141.30899047851562,14.987580299377441,38.395137786865234,10.619714736938477,15.518898010253906,-3.4127755165100098,-0.07424655556678772,-10.887134552001953,-0.6922526359558105,-10.405729293823242,-1.648993730545044,-8.603885650634766,-6.426053047180176,-7.839162349700928,-3.7146542072296143,-8.933599472045898,-4.840146064758301,-9.755754470825195,-3.2465951442718506,-6.962811470031738,-1.13251531124115,-5.548696994781494,-2.3413195610046387,-8.06125545501709,-2.2994959354400635,-1.4759817123413086,1.5665584802627563,0.36740440130233765,-2.2033627033233643,-5.22249174118042,-1.8166043758392334,-2.5705883502960205,1.778660535812378,-0.6034625768661499,0.11723936349153519,-6.826454162597656,-4.459292411804199,-8.143902778625488,-3.8228631019592285
